participant,trial_counter,hypothesis_userinput,hypothesis_level,hypothesis_true_noted_characteristics,hypothesis_characteristic_type
p453799,2,dog,bas,,
p453799,3,pepper,bas,,
p453799,4,fruit,sup,,
p453799,5,bus,bas,,
p453799,6,fish,bas,,
p508456,1,A school bus,sub,,
p508456,2,Red apple,sub,,
p508456,3,fish,bas,,
p508456,4,dog,bas,,
p508456,5,Jalapenos,bas,,
p508456,6,sporting equipment,sup,,
p383972,1,Fish,bas,,
p383972,2,apple,bas,,
p383972,3,bus,bas,,
p383972,4,ball,bas,,
p383972,5,animal,sup,,
p383972,6,pepper,bas,,
p529944,1,basketball,sub,,
p529944,2,dalmatian,sub,,
p529944,3,jalapeno,bas,,
p529944,4,vehicles,sup,,
p529944,5,fish,bas,,
p529944,6,apple,bas,,
p511581,1,basketball,sub,,
p511581,2,dog,bas,,
p511581,3,pepper,bas,,
p511581,4,fruit,sup,,
p511581,5,fish,bas,,
p511581,6,bus,bas,,
p228947,1,fish,bas,,
p228947,2,motor vehicle,sup,,
p228947,3,apple,bas,,
p228947,4,basketball,sub,,
p228947,5,pepper,bas,,
p228947,6,dog,bas,,
p170366,1,fish,bas,,
p170366,2,bus,bas,,
p170366,3,apple,bas,,
p170366,4,ball,bas,,
p170366,5,jalapeno,bas,,
p170366,6,dog,bas,,
p626970,1,spotted dog,sub,,
p626970,2,a long pepper,sub/bas,"<-- bas based on sampling, but sub based on how their wording??",
p626970,3,ball,bas,,
p626970,4,fruit,sup,,
p626970,5,fish,bas,,
p626970,6,bus,bas,,
